#1	
float Input_Q_Feed1_ADM1(554,2)	
0	0.36
0.033333333	1E-16
4	0.432
4.033333333	1E-16
8	0.396
8.033333333	1E-16
12	0.36
12.03333333	1E-16
16	0.36
16.03333333	1E-16
20	0.36
20.03333333	1E-16
24	0.36
24.03333333	1E-16
28	0.36
28.03333333	1E-16
32	0.36
32.03333333	1E-16
36	0.36
36.03333333	1E-16
40	0.36
40.03333333	1E-16
44	0.36
44.03333333	1E-16
48	0.36
48.03333333	1E-16
52	0.36
52.03333333	1E-16
56	0.36
56.03333333	1E-16
60	0.36
60.03333333	1E-16
64	0.36
64.03333333	1E-16
68	0.36
68.03333333	1E-16
72	0.36
72.03333333	1E-16
76	0.36
76.03333333	1E-16
80	0.36
80.03333333	1E-16
84	0.36
84.03333333	1E-16
88	0.36
88.03333333	1E-16
92	0.36
92.03333333	1E-16
96	0.36
96.03333333	1E-16
100	0.36
100.0333333	1E-16
104	0.36
104.0333333	1E-16
108	0.36
108.0333333	1E-16
112	0.36
112.0333333	1E-16
116	0.36
116.0333333	1E-16
120	0.36
120.0333333	1E-16
124	0.36
124.0333333	1E-16
128	0.36
128.0333333	1E-16
132	0.36
132.0333333	1E-16
136	0.36
136.0333333	1E-16
140	0.36
140.0333333	1E-16
144	0.36
144.0333333	1E-16
148	0.36
148.0333333	1E-16
152	0.36
152.0333333	1E-16
156	0.36
156.0333333	1E-16
160	0.36
160.0333333	1E-16
164	0.36
164.0333333	1E-16
168	0.36
168.0333333	1E-16
172	0.36
172.0333333	1E-16
176	0.36
176.0333333	1E-16
180	0.36
180.0333333	1E-16
184	0.36
184.0333333	1E-16
188	0.36
188.0333333	1E-16
192	0.36
192.0333333	1E-16
196	0.36
196.0333333	1E-16
200	0.36
200.0333333	1E-16
204	0.36
204.0333333	1E-16
208	0.36
208.0333333	1E-16
212	0.36
212.0333333	1E-16
216	0.36
216.0333333	1E-16
220	0.36
220.0333333	1E-16
224	0.36
224.0333333	1E-16
228	0.36
228.0333333	1E-16
232	0.36
232.0333333	1E-16
236	0.36
236.0333333	1E-16
240	0.36
240.0333333	1E-16
244	0.36
244.0333333	1E-16
248	0.36
248.0333333	1E-16
252	0.36
252.0333333	1E-16
256	0.36
256.0333333	1E-16
260	0.36
260.0333333	1E-16
264	0.36
264.0333333	1E-16
268	0.36
268.0333333	1E-16
272	0.36
272.0333333	1E-16
276	0.36
276.0333333	1E-16
280	0.36
280.0333333	1E-16
284	0.36
284.0333333	1E-16
288	0.36
288.0333333	1E-16
292	0.36
292.0333333	1E-16
296	0.36
296.0333333	1E-16
300	0.36
300.0333333	1E-16
304	0.36
304.0333333	1E-16
308	0.36
308.0333333	1E-16
312	0.36
312.0333333	1E-16
316	0.36
316.0333333	1E-16
320	0.36
320.0333333	1E-16
324	0.36
324.0333333	1E-16
328	0.36
328.0333333	1E-16
332	0.36
332.0333333	1E-16
336	0.36
336.0333333	1E-16
340	0.36
340.0333333	1E-16
344	0.36
344.0333333	1E-16
348	0.36
348.0333333	1E-16
352	0.36
352.0333333	1E-16
356	0.36
356.0333333	1E-16
360	0.36
360.0333333	1E-16
364	0.36
364.0333333	1E-16
368	0.36
368.0333333	1E-16
372	0.36
372.0333333	1E-16
376	0.36
376.0333333	1E-16
380	0.36
380.0333333	1E-16
384	0.36
384.0333333	1E-16
388	0.36
388.0333333	1E-16
392	0.36
392.0333333	1E-16
396	0.36
396.0333333	1E-16
400	0.36
400.0333333	1E-16
404	0.36
404.0333333	1E-16
408	0.36
408.0333333	1E-16
412	0.36
412.0333333	1E-16
416	0.36
416.0333333	1E-16
420	0.36
420.0333333	1E-16
424	0.36
424.0333333	1E-16
428	0.36
428.0333333	1E-16
432	0.36
432.0333333	1E-16
436	0.36
436.0333333	1E-16
440	0.36
440.0333333	1E-16
444	0.36
444.0333333	1E-16
448	0.36
448.0333333	1E-16
452	0.36
452.0333333	1E-16
456	0.36
456.0333333	1E-16
460	0.36
460.0333333	1E-16
464	0.36
464.0333333	1E-16
468	0.36
468.0333333	1E-16
472	0.36
472.0333333	1E-16
476	0.36
476.0333333	1E-16
480	0.36
480.0333333	1E-16
484	0.36
484.0333333	1E-16
488	0.36
488.0333333	1E-16
492	0.36
492.0333333	1E-16
496	0.36
496.0333333	1E-16
500	0.36
500.0333333	1E-16
504	0.36
504.0333333	1E-16
508	0.36
508.0333333	1E-16
512	0.36
512.0333333	1E-16
516	0.36
516.0333333	1E-16
520	0.36
520.0333333	1E-16
524	0.36
524.0333333	1E-16
528	0.36
528.0333333	1E-16
532	0.36
532.0333333	1E-16
536	0.36
536.0333333	1E-16
540	0.36
540.0333333	1E-16
544	0.36
544.0333333	1E-16
548	0.36
548.0333333	1E-16
552	0.36
552.0333333	1E-16
556	0.36
556.0333333	1E-16
560	0.36
560.0333333	1E-16
564	0.36
564.0333333	1E-16
568	0.36
568.0333333	1E-16
572	0.36
572.0333333	1E-16
576	0.36
576.0333333	1E-16
580	0.36
580.0333333	1E-16
584	0.36
584.0333333	1E-16
588	0.36
588.0333333	1E-16
592	0.36
592.0333333	1E-16
596	0.36
596.0333333	1E-16
600	0.36
600.0333333	1E-16
604	0.36
604.0333333	1E-16
608	0.36
608.0333333	1E-16
612	0.36
612.0333333	1E-16
616	0.36
616.0333333	1E-16
620	0.36
620.0333333	1E-16
624	0.36
624.0333333	1E-16
628	0.36
628.0333333	1E-16
632	0.36
632.0333333	1E-16
636	0.36
636.0333333	1E-16
640	0.36
640.0333333	1E-16
644	0.36
644.0333333	1E-16
648	0.36
648.0333333	1E-16
652	0.36
652.0333333	1E-16
656	0.36
656.0333333	1E-16
660	0.36
660.0333333	1E-16
664	0.36
664.0333333	1E-16
668	0.36
668.0333333	1E-16
672	0.36
672.0333333	1E-16
676	0.36
676.0333333	1E-16
680	0.36
680.0333333	1E-16
684	0.36
684.0333333	1E-16
688	0.36
688.0333333	1E-16
692	0.36
692.0333333	1E-16
696	0.36
696.0333333	1E-16
700	0.36
700.0333333	1E-16
704	0.36
704.0333333	1E-16
708	0.36
708.0333333	1E-16
712	0.36
712.0333333	1E-16
716	0.36
716.0333333	1E-16
720	0.36
720.0333333	1E-16
724	0.36
724.0333333	1E-16
728	0.36
728.0333333	1E-16
732	0.36
732.0333333	1E-16
736	0.36
736.0333333	1E-16
740	0.36
740.0333333	1E-16
744	0.36
744.0333333	1E-16
748	0.36
748.0333333	1E-16
752	0.36
752.0333333	1E-16
756	0.36
756.0333333	1E-16
760	0.36
760.0333333	1E-16
764	0.36
764.0333333	1E-16
768	0.36
768.0333333	1E-16
772	0.36
772.0333333	1E-16
776	0.36
776.0333333	1E-16
780	0.36
780.0333333	1E-16
784	0.36
784.0333333	1E-16
788	0.36
788.0333333	1E-16
792	0.36
792.0333333	1E-16
796	0.36
796.0333333	1E-16
800	0.36
800.0333333	1E-16
804	0.36
804.0333333	1E-16
808	0.36
808.0333333	1E-16
812	0.36
812.0333333	1E-16
816	0.36
816.0333333	1E-16
820	0.36
820.0333333	1E-16
824	0.36
824.0333333	1E-16
828	0.36
828.0333333	1E-16
832	0.36
832.0333333	1E-16
836	0.36
836.0333333	1E-16
840	0.36
840.0333333	1E-16
844	0.36
844.0333333	1E-16
848	0.36
848.0333333	1E-16
852	0.36
852.0333333	1E-16
856	0.36
856.0333333	1E-16
860	0.36
860.0333333	1E-16
864	0.36
864.0333333	1E-16
868	0.36
868.0333333	1E-16
872	0.36
872.0333333	1E-16
876	0.36
876.0333333	1E-16
880	0.36
880.0333333	1E-16
884	0.36
884.0333333	1E-16
888	0.36
888.0333333	1E-16
892	0.36
892.0333333	1E-16
896	0.36
896.0333333	1E-16
900	0.36
900.0333333	1E-16
904	0.36
904.0333333	1E-16
908	0.36
908.0333333	1E-16
912	0.36
912.0333333	1E-16
916	0.36
916.0333333	1E-16
920	0.36
920.0333333	1E-16
924	0.36
924.0333333	1E-16
928	0.36
928.0333333	1E-16
932	0.36
932.0333333	1E-16
936	0.36
936.0333333	1E-16
940	0.36
940.0333333	1E-16
944	0.36
944.0333333	1E-16
948	0.36
948.0333333	1E-16
952	0.36
952.0333333	1E-16
956	0.36
956.0333333	1E-16
960	0.36
960.0333333	1E-16
964	0.36
964.0333333	1E-16
968	0.36
968.0333333	1E-16
972	0.36
972.0333333	1E-16
976	0.36
976.0333333	1E-16
980	0.36
980.0333333	1E-16
984	0.36
984.0333333	1E-16
988	0.36
988.0333333	1E-16
992	0.36
992.0333333	1E-16
996	0.36
996.0333333	1E-16
1000	0.36
1000.033333	1E-16
1004	0.36
1004.033333	1E-16
1008	0.36
1008.033333	1E-16
1012	0.36
1012.033333	1E-16
1016	0.36
1016.033333	1E-16
1020	0.36
1020.033333	1E-16
1024	0.36
1024.033333	1E-16
1028	0.36
1028.033333	1E-16
1032	0.36
1032.033333	1E-16
1036	0.36
1036.033333	1E-16
1040	0.36
1040.033333	1E-16
1044	0.36
1044.033333	1E-16
1048	0.36
1048.033333	1E-16
1052	0.36
1052.033333	1E-16
1056	0.36
1056.033333	1E-16
1060	0.36
1060.033333	1E-16
1064	0.36
1064.033333	1E-16
1068	0.36
1068.033333	1E-16
1072	0.36
1072.033333	1E-16
1076	0.36
1076.033333	1E-16
1080	0.36
1080.033333	1E-16
1084	0.36
1084.033333	1E-16
1088	0.36
1088.033333	1E-16
1092	0.36
1092.033333	1E-16
1096	0.36
1096.033333	1E-16
1100	0.36
1100.033333	1E-16
1104	0.36
17568.0	0.36



